Ticker,p,d,q,Trend,Window,Val_MAPE,Order
LLOY.L,2,0,1,n,Full,0.011135006243538538,"(2,0,1)"
LLOY.L,0,0,1,n,252,0.011136397318888904,"(0,0,1)"
LLOY.L,0,0,2,n,126,0.011139130432382243,"(0,0,2)"
LLOY.L,2,0,0,c,126,0.011139405460370467,"(2,0,0)"
LLOY.L,1,0,1,c,63,0.011141230595348333,"(1,0,1)"
LLOY.L,1,0,2,n,Full,0.011141948501895463,"(1,0,2)"
LLOY.L,2,0,0,c,63,0.011148825615158153,"(2,0,0)"
LLOY.L,0,0,2,c,126,0.011153071201035045,"(0,0,2)"
LLOY.L,1,0,0,n,252,0.011156222924168496,"(1,0,0)"
LLOY.L,3,0,2,n,Full,0.011160338928180814,"(3,0,2)"
LLOY.L,0,0,1,n,126,0.011164978623288241,"(0,0,1)"
LLOY.L,0,0,0,c,126,0.011169943422710419,"(0,0,0)"
LLOY.L,2,0,1,c,126,0.011172357555295847,"(2,0,1)"
LLOY.L,1,0,1,n,Full,0.011174038674257944,"(1,0,1)"
LLOY.L,2,0,3,n,Full,0.011174488015060026,"(2,0,3)"
LLOY.L,1,0,0,c,Full,0.011178921921423775,"(1,0,0)"
LLOY.L,0,0,1,c,126,0.01118237532107653,"(0,0,1)"
LLOY.L,2,0,3,c,Full,0.011188097779625707,"(2,0,3)"
LLOY.L,0,0,1,c,Full,0.011189834048878675,"(0,0,1)"
LLOY.L,3,0,0,n,126,0.011191184699109647,"(3,0,0)"
LLOY.L,0,0,1,n,63,0.01119122241124204,"(0,0,1)"
LLOY.L,1,0,0,n,126,0.01121068843848536,"(1,0,0)"
LLOY.L,3,0,3,n,126,0.011212051989760295,"(3,0,3)"
LLOY.L,3,0,3,c,Full,0.011213709035496532,"(3,0,3)"
LLOY.L,2,0,1,n,63,0.011214813006992235,"(2,0,1)"
LLOY.L,3,0,3,n,252,0.011216980902031094,"(3,0,3)"
LLOY.L,3,0,0,c,126,0.011222536639025909,"(3,0,0)"
LLOY.L,1,0,0,c,126,0.011222560077831772,"(1,0,0)"
LLOY.L,3,0,3,c,126,0.011229316233299657,"(3,0,3)"
LLOY.L,1,0,0,n,63,0.011235900318919426,"(1,0,0)"
LLOY.L,3,0,1,c,126,0.011238892582063786,"(3,0,1)"
LLOY.L,3,0,2,n,126,0.011251523855904454,"(3,0,2)"
LLOY.L,2,0,1,n,126,0.011252470416338391,"(2,0,1)"
LLOY.L,1,0,3,c,126,0.011270705031708666,"(1,0,3)"
LLOY.L,1,0,1,n,126,0.011278852701047087,"(1,0,1)"
LLOY.L,1,0,3,n,126,0.01128889497110371,"(1,0,3)"
LLOY.L,0,0,2,n,63,0.011289375112575646,"(0,0,2)"
LLOY.L,0,0,2,c,63,0.011293500292157333,"(0,0,2)"
LLOY.L,0,0,3,c,63,0.011297646044224393,"(0,0,3)"
LLOY.L,0,0,0,c,21,0.011303356725990527,"(0,0,0)"
LLOY.L,1,0,0,n,Full,0.011309818109359278,"(1,0,0)"
LLOY.L,0,0,1,n,Full,0.01131965155287706,"(0,0,1)"
LLOY.L,2,0,2,c,126,0.011322495458390116,"(2,0,2)"
LLOY.L,0,0,3,n,63,0.011323050251647518,"(0,0,3)"
LLOY.L,0,0,1,c,63,0.011324975526159744,"(0,0,1)"
LLOY.L,1,0,0,c,63,0.011329541953256417,"(1,0,0)"
LLOY.L,2,0,1,c,63,0.01133113285585705,"(2,0,1)"
LLOY.L,1,0,2,n,63,0.011350530595042435,"(1,0,2)"
LLOY.L,0,0,0,c,63,0.011351738132106888,"(0,0,0)"
LLOY.L,2,0,3,c,126,0.01137056493630035,"(2,0,3)"
LLOY.L,3,0,2,c,126,0.011374142903240295,"(3,0,2)"
LLOY.L,1,0,0,n,21,0.011376063701649597,"(1,0,0)"
LLOY.L,1,0,2,c,63,0.011392603738946903,"(1,0,2)"
LLOY.L,1,0,1,c,126,0.011408932419881173,"(1,0,1)"
LLOY.L,2,0,2,c,63,0.011424248627316816,"(2,0,2)"
LLOY.L,1,0,3,n,63,0.01143187789844634,"(1,0,3)"
LLOY.L,1,0,3,c,63,0.011483872552033014,"(1,0,3)"
LLOY.L,3,0,3,n,Full,0.011502573477920216,"(3,0,3)"
LLOY.L,1,0,0,c,21,0.011502741910182841,"(1,0,0)"
LLOY.L,3,0,0,c,63,0.011514480533360523,"(3,0,0)"
LLOY.L,3,0,0,n,63,0.011524105164222817,"(3,0,0)"
LLOY.L,3,0,1,n,63,0.011596256362670282,"(3,0,1)"
LLOY.L,2,0,3,c,63,0.011650250144780919,"(2,0,3)"
LLOY.L,2,0,1,n,21,0.01166029156323109,"(2,0,1)"
LLOY.L,2,0,3,n,63,0.011688220262717217,"(2,0,3)"
LLOY.L,0,0,1,c,21,0.011692296889028321,"(0,0,1)"
LLOY.L,0,0,1,n,21,0.011731148340147358,"(0,0,1)"
LLOY.L,1,0,1,n,21,0.01174032861412251,"(1,0,1)"
LLOY.L,2,0,2,n,63,0.011753844286876834,"(2,0,2)"
LLOY.L,2,0,0,n,21,0.01179512963639482,"(2,0,0)"
LLOY.L,3,0,1,c,63,0.011824678927406745,"(3,0,1)"
LLOY.L,3,0,3,c,63,0.011826977696769587,"(3,0,3)"
LLOY.L,2,0,1,c,21,0.011877574817265443,"(2,0,1)"
LLOY.L,3,0,2,n,63,0.011880639923822836,"(3,0,2)"
LLOY.L,2,0,0,c,21,0.011882386709952779,"(2,0,0)"
LLOY.L,3,0,2,c,63,0.011918664581215212,"(3,0,2)"
LLOY.L,1,0,1,c,21,0.01201555480251658,"(1,0,1)"
LLOY.L,1,0,2,n,21,0.012206567156957986,"(1,0,2)"
LLOY.L,3,0,3,n,63,0.012218371105481775,"(3,0,3)"
LLOY.L,2,0,2,n,21,0.012349940044576185,"(2,0,2)"
LLOY.L,1,0,2,c,21,0.01247382536123805,"(1,0,2)"
LLOY.L,3,0,0,c,21,0.01260994531882858,"(3,0,0)"
LLOY.L,2,0,2,c,21,0.012834567759207235,"(2,0,2)"
LLOY.L,3,0,0,n,21,0.012962580439992138,"(3,0,0)"
LLOY.L,0,0,2,c,21,0.013028276769501763,"(0,0,2)"
LLOY.L,3,0,1,c,21,0.013143038739363027,"(3,0,1)"
LLOY.L,1,0,3,c,21,0.013357677962842077,"(1,0,3)"
LLOY.L,3,0,2,c,21,0.013377749427972145,"(3,0,2)"
LLOY.L,0,0,3,c,21,0.01355599060790927,"(0,0,3)"
LLOY.L,0,0,3,n,21,0.013822342972429113,"(0,0,3)"
LLOY.L,1,0,3,n,21,0.013952827877459877,"(1,0,3)"
LLOY.L,3,0,1,n,21,0.014029686770475832,"(3,0,1)"
LLOY.L,0,0,2,n,21,0.014054098841526317,"(0,0,2)"
LLOY.L,3,0,3,n,21,0.014158447024380424,"(3,0,3)"
LLOY.L,3,0,2,n,21,0.0143988949034178,"(3,0,2)"
LLOY.L,2,0,3,c,21,0.014590195364488549,"(2,0,3)"
LLOY.L,3,0,3,c,21,0.0147045039117584,"(3,0,3)"
LLOY.L,2,0,3,n,21,0.014846732280297486,"(2,0,3)"
