Ticker,p,d,q,Trend,Window,Val_MAPE,Order
BARC.L,3,0,2,c,126,0.013611087426920545,"(3,0,2)"
BARC.L,0,0,3,n,126,0.013620329876591394,"(0,0,3)"
BARC.L,1,0,0,c,63,0.013625658492792238,"(1,0,0)"
BARC.L,2,0,3,n,126,0.013626188697535681,"(2,0,3)"
BARC.L,3,0,1,c,126,0.01364396359227444,"(3,0,1)"
BARC.L,2,0,2,c,126,0.013647738981939194,"(2,0,2)"
BARC.L,1,0,0,n,63,0.013652807568250136,"(1,0,0)"
BARC.L,0,0,0,c,21,0.013682171954424227,"(0,0,0)"
BARC.L,2,0,3,c,126,0.013688553494222969,"(2,0,3)"
BARC.L,1,0,1,n,21,0.013714761150812242,"(1,0,1)"
BARC.L,3,0,3,n,126,0.013721747423232861,"(3,0,3)"
BARC.L,1,0,3,c,126,0.013724080579997513,"(1,0,3)"
BARC.L,2,0,2,n,252,0.013734548659372427,"(2,0,2)"
BARC.L,0,0,1,c,63,0.013748053477951449,"(0,0,1)"
BARC.L,0,0,1,c,21,0.01375311856251903,"(0,0,1)"
BARC.L,1,0,1,n,63,0.013776487003475458,"(1,0,1)"
BARC.L,1,0,3,n,126,0.013829516817289274,"(1,0,3)"
BARC.L,3,0,2,n,126,0.013882277543416055,"(3,0,2)"
BARC.L,0,0,2,n,63,0.013898405235260421,"(0,0,2)"
BARC.L,1,0,1,c,21,0.01391780116204357,"(1,0,1)"
BARC.L,0,0,2,c,63,0.013930676529398408,"(0,0,2)"
BARC.L,2,0,0,n,63,0.013964828443606015,"(2,0,0)"
BARC.L,2,0,0,c,63,0.013982242733775577,"(2,0,0)"
BARC.L,2,0,1,n,63,0.014027857684270256,"(2,0,1)"
BARC.L,1,0,1,c,63,0.014031743026769322,"(1,0,1)"
BARC.L,1,0,2,n,63,0.014039075665016647,"(1,0,2)"
BARC.L,0,0,3,n,63,0.014104794123087636,"(0,0,3)"
BARC.L,1,0,2,c,63,0.014113155639836925,"(1,0,2)"
BARC.L,3,0,0,n,63,0.014113996922473475,"(3,0,0)"
BARC.L,2,0,3,n,63,0.014144180065290021,"(2,0,3)"
BARC.L,3,0,0,c,63,0.014144540255421037,"(3,0,0)"
BARC.L,2,0,1,n,21,0.014160146760227161,"(2,0,1)"
BARC.L,2,0,1,c,63,0.014176184312835126,"(2,0,1)"
BARC.L,3,0,2,n,63,0.014184484070567858,"(3,0,2)"
BARC.L,2,0,0,n,21,0.014185747462046346,"(2,0,0)"
BARC.L,2,0,2,c,63,0.01422578396327485,"(2,0,2)"
BARC.L,2,0,0,c,21,0.014310926522141028,"(2,0,0)"
BARC.L,0,0,3,c,63,0.014324421368356391,"(0,0,3)"
BARC.L,2,0,2,n,63,0.014446246861269779,"(2,0,2)"
BARC.L,0,0,2,n,21,0.0145067679878813,"(0,0,2)"
BARC.L,2,0,1,c,21,0.014521130307115855,"(2,0,1)"
BARC.L,1,0,3,c,63,0.01452574658713187,"(1,0,3)"
BARC.L,3,0,1,c,63,0.014562158784798867,"(3,0,1)"
BARC.L,1,0,3,n,63,0.014574965899842416,"(1,0,3)"
BARC.L,3,0,1,n,63,0.014599084893233224,"(3,0,1)"
BARC.L,2,0,2,n,21,0.014614347501060746,"(2,0,2)"
BARC.L,1,0,2,n,21,0.01469319554642477,"(1,0,2)"
BARC.L,0,0,2,c,21,0.014736617027282668,"(0,0,2)"
BARC.L,3,0,3,n,63,0.01473881639140962,"(3,0,3)"
BARC.L,3,0,2,c,63,0.014906666386273538,"(3,0,2)"
BARC.L,3,0,0,n,21,0.014951419221826507,"(3,0,0)"
BARC.L,3,0,3,c,63,0.015038613663539086,"(3,0,3)"
BARC.L,0,0,3,n,21,0.01503938439874117,"(0,0,3)"
BARC.L,2,0,3,c,63,0.015085707403572797,"(2,0,3)"
BARC.L,3,0,2,n,21,0.015274403354331289,"(3,0,2)"
BARC.L,3,0,0,c,21,0.015318042169944613,"(3,0,0)"
BARC.L,2,0,2,c,21,0.015356030946777215,"(2,0,2)"
BARC.L,3,0,1,c,21,0.015533464249940643,"(3,0,1)"
BARC.L,3,0,1,n,21,0.01566083713516868,"(3,0,1)"
BARC.L,1,0,2,c,21,0.01570173859883298,"(1,0,2)"
BARC.L,3,0,2,c,21,0.015930433553353565,"(3,0,2)"
BARC.L,0,0,3,c,21,0.015943947234809328,"(0,0,3)"
BARC.L,2,0,3,n,21,0.01616892590967635,"(2,0,3)"
BARC.L,1,0,3,n,21,0.016619075485260062,"(1,0,3)"
BARC.L,3,0,3,c,21,0.01688201857590296,"(3,0,3)"
BARC.L,3,0,3,n,21,0.017118567017029435,"(3,0,3)"
BARC.L,1,0,3,c,21,0.017280331751770534,"(1,0,3)"
BARC.L,2,0,3,c,21,0.01729141298119409,"(2,0,3)"
